2026-07-21 13:16:27 | [INFO    ] | zooui.BackupManager       | create_backup        | Created backup: /home/asd/.zooui/backups/Le-Summers-Schools_c1c4/26_07_21_13_16_Le-Summers-Schools_edad.pzs
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-21 13:16:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 7 workers
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/logs/zooui.log
2026-07-21 13:16:33 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-21 13:16:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 8 workers
2026-07-21 13:16:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 4 workers
2026-07-21 13:16:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 6 workers
2026-07-21 13:16:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 1 workers
2026-07-21 13:16:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 4 workers
2026-07-21 13:16:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 3 workers
2026-07-21 13:16:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 4 workers
2026-07-21 13:16:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 3 workers
2026-07-21 13:16:33 | [INFO    ] | pyvips                    | _log_handler_callback | VIPS: threadpool completed with 4 workers
2026-07-21 13:16:34 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
