2026-07-13 13:22:44 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-13 13:22:44 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-13 13:22:44 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-13 13:22:44 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-13 13:22:44 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-13 13:22:44 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/docs/logs/zooui.log
2026-07-13 13:22:44 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:41:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 10:41:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 10:41:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 10:41:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 10:41:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 10:41:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/docs/logs/zooui.log
2026-07-22 10:41:32 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 11:26:39 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 11:26:39 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 11:26:39 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 11:26:39 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 11:26:39 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 11:26:39 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/docs/logs/zooui.log
2026-07-22 11:26:39 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 11:27:06 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 11:27:06 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 11:27:06 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 11:27:06 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 11:27:06 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 11:27:06 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/docs/logs/zooui.log
2026-07-22 11:27:06 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 11:37:46 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 11:37:46 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 11:37:46 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 11:37:46 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 11:37:46 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 11:37:46 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/docs/logs/zooui.log
2026-07-22 11:37:46 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 11:55:53 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
2026-07-22 11:55:53 | [INFO    ] | zooui.LoggerConfig        | initialize           | ZooUI Logging System Initialized
2026-07-22 11:55:53 | [INFO    ] | zooui.LoggerConfig        | initialize           | Debug Mode: False
2026-07-22 11:55:53 | [INFO    ] | zooui.LoggerConfig        | initialize           | Console Level: WARNING
2026-07-22 11:55:53 | [INFO    ] | zooui.LoggerConfig        | initialize           | File Level: INFO
2026-07-22 11:55:53 | [INFO    ] | zooui.LoggerConfig        | initialize           | Log File: /home/asd/Projects/zooui/docs/logs/zooui.log
2026-07-22 11:55:53 | [INFO    ] | zooui.LoggerConfig        | initialize           | ============================================================
